Username,Password,Confirm,First Name,Last Name,Street Address,City/State/Zip
jojo,bean,bean,Jojo,Bean,Tverskaya,Moscow/Moscow Region/Zip1
abub,chuk,chuk,Abub,Chuk,EastStreet,Ankara/Antalia/Zip2
jurub,bubuk,bubuk,Jurub,Bubuk,WestStreet,Tehran/IranFirstState/Zip3
bolegardo,milansky,milansky,Bolegardo,Milansky,StreetOfStrenght,Milan/ItalyState/Zip4
ivan,petrov,petrov,Ivan,Petrov,Lubianka,Moscow/Moscow Region/Zip5
boris,britva,britva,Boris,Britva,WestSide,London/LondonDistrict/Zip6
jason,statham,statham,Jason,Statham,WisdomStreet,Shaibruk/Great Britain/Zip7
bred,pitt,pitt,Bred,Pitt,AwesomeStreet,Dallas/Texas/Zip8
ugo,chaves,chaves,Ugo,Chaves,AngryStreet,Karacas/Venesuela/Zip9
kim,chenin,chenin,Kim,Chenin,NuclearGun,Phenian/Korea/Zip10
